"","size","distance","altitude","alien","time","protea","vegtype","density"
"1",5057.27723357565,13.1495550471628,40.3132750461895,"Absent",7.09314722138411,"Present","strandveld",16.4765539735735
"2",5590.88091815658,29.9435622970698,43.7948251735032,"Absent",11.7896019274301,"Present","strandveld",23.0589644444203
"3",5741.89386016436,25.0244212648016,48.365578112841,"Absent",12.9146099192015,"Present","strandveld",22.6309509315823
"4",2727.48269074742,21.8822468909132,42.9138781958759,"Absent",8.96784625717209,"Present","strandveld",10.6524319269646
"6",4345.85763587713,31.2695322589531,44.7272357538536,"Absent",12.8487780403667,"Present","strandveld",22.3258677176056
"7",4614.53182485883,19.845601583156,15.6456575598226,"Absent",10.9587220630516,"Present","strandveld",17.0033867226622
"8",4068.64680808765,13.169631543254,37.7413235197862,"Present",5.8815621096152,"Present","strandveld",7.39339268443463
"9",5639.63490589967,33.8384842308795,31.6642523730382,"Present",6.91270792215246,"Absent","strandveld",1.08233037017094
"10",5575.10289016433,26.7271794752676,30.8230461096059,"Present",11.458210878135,"Present","strandveld",8.0263820380542
"11",6337.54840128917,31.2018713354681,36.4455711465951,"Absent",14.7307526519182,"Present","strandveld",21.5520233857031
"13",6124.80952755931,26.3104864644168,70.6747190330717,"Present",8.1171847673798,"Present","strandveld",10.2338550314266
"14",5883.30719378527,29.1912455326071,45.6646350590141,"Absent",14.5265135719665,"Present","strandveld",23.1157427622549
"15",5060.78316173896,31.5172967076749,36.8394117085578,"Present",8.56483816679624,"Absent","strandveld",11.3369210232326
"16",5320.07181459162,26.2386288042183,48.3114748128277,"Absent",12.9129816085591,"Present","strandveld",27.0544295275496
"17",4784.83946818445,29.0892386921045,36.6490686930243,"Present",9.72813898126996,"Absent","strandveld",2.69104706639042
"18",3673.20622850857,26.2652936803156,28.192556068153,"Absent",12.6757541874149,"Present","strandveld",24.7645866345975
"19",4845.9135567784,22.7193233997275,26.7992671300517,"Absent",9.75945922739559,"Present","strandveld",14.4798931444279
"20",3915.46594325803,28.9939118004904,43.8453486373441,"Absent",11.3648568961416,"Present","strandveld",18.001000833453
"21",5367.15819968306,36.1112898286993,37.8095744157887,"Present",8.50124734525354,"Absent","strandveld",8.78964340465857
"22",4104.67244351436,34.3282132802112,23.4670530937275,"Absent",16.6949891284265,"Present","strandveld",22.5116982774922
"23",4904.56784316066,35.1722091517908,38.3988103718312,"Absent",12.8740225662034,"Present","strandveld",20.3512362715684
"24",5084.4509908706,25.9955112755515,23.7716812713303,"Present",10.9651025687893,"Present","strandveld",7.84806689362647
"26",5322.37901966847,28.0903633692366,38.7299383519601,"Absent",11.8226789009165,"Present","strandveld",22.8188840752712
